trip_id,arrival_time,departure_time,stop_id,stop_sequence
WD1,04:45:00,04:45:00,41_1,1
WD1,04:45:00,04:46:10,45_1,2
WD1,04:46:10,04:47:20,16_1,3
WD1,04:47:20,04:48:30,5_1,4
WD1,04:48:30,04:49:40,14_1,5
WD1,04:49:40,04:50:50,355_1,6
WD1,04:50:50,04:52:00,20_1,7
WD1,04:52:00,04:53:10,15_1,8
WD1,04:53:10,04:54:20,13_1,9
WD1,04:54:20,04:55:30,42_1,10
WD1,04:55:30,04:56:40,375_1,11
WD1,04:56:40,04:57:50,309_1,12
WD1,04:57:50,04:59:00,19_1,13
WD1,04:59:00,05:00:10,22_1,14
WD1,05:00:10,05:01:20,48_1,15
WD1,05:01:20,05:02:30,37_1,16
WD1,05:02:30,05:03:40,30_1,17
WD1,05:03:40,05:04:50,35_1,18
WD1,05:04:50,05:06:00,240_1,19
WD1,05:06:00,05:07:10,137_1,20
WD1,05:07:10,05:08:20,295_1,21
WD1,05:08:20,05:09:30,194_1,22
WD1,05:09:30,05:10:40,281_1,23
WD1,05:10:40,05:11:50,33_1,24
WD1,05:11:50,05:13:00,348_1,25
WD1,05:13:00,05:14:10,4_1,26
WD1,05:14:10,05:15:20,10_1,27
WD1,05:15:20,05:16:30,12_1,28
WD1,05:16:30,05:17:40,11_1,29
WD1,05:17:40,05:18:50,498_1,30
WD1,05:18:50,05:20:00,366_1,31
WD1,05:20:00,05:21:10,347_1,32
WD1,05:21:10,05:22:20,294_1,33
WD1,05:22:20,05:55:00,81_1,34
WD2,04:55:00,04:55:00,41_1,1
WD2,04:55:00,04:56:10,45_1,2
WD2,04:56:10,04:57:20,16_1,3
WD2,04:57:20,04:58:30,5_1,4
WD2,04:58:30,04:59:40,14_1,5
WD2,04:59:40,05:00:50,355_1,6
WD2,05:00:50,05:02:00,20_1,7
WD2,05:02:00,05:03:10,15_1,8
WD2,05:03:10,05:04:20,13_1,9
WD2,05:04:20,05:05:30,42_1,10
WD2,05:05:30,05:06:40,375_1,11
WD2,05:06:40,05:07:50,309_1,12
WD2,05:07:50,05:09:00,19_1,13
WD2,05:09:00,05:10:10,22_1,14
WD2,05:10:10,05:11:20,48_1,15
WD2,05:11:20,05:12:30,37_1,16
WD2,05:12:30,05:13:40,30_1,17
WD2,05:13:40,05:14:50,35_1,18
WD2,05:14:50,05:16:00,240_1,19
WD2,05:16:00,05:17:10,137_1,20
WD2,05:17:10,05:18:20,295_1,21
WD2,05:18:20,05:19:30,194_1,22
WD2,05:19:30,05:20:40,281_1,23
WD2,05:20:40,05:21:50,33_1,24
WD2,05:21:50,05:23:00,348_1,25
WD2,05:23:00,05:24:10,4_1,26
WD2,05:24:10,05:25:20,10_1,27
WD2,05:25:20,05:26:30,12_1,28
WD2,05:26:30,05:27:40,11_1,29
WD2,05:27:40,05:28:50,498_1,30
WD2,05:28:50,05:30:00,366_1,31
WD2,05:30:00,05:31:10,347_1,32
WD2,05:31:10,05:32:20,294_1,33
WD2,05:32:20,06:05:00,81_1,34
WD3,05:00:00,05:00:00,41_1,1
WD3,05:00:00,05:01:10,45_1,2
WD3,05:01:10,05:02:20,16_1,3
WD3,05:02:20,05:03:30,5_1,4
WD3,05:03:30,05:04:40,14_1,5
WD3,05:04:40,05:05:50,355_1,6
WD3,05:05:50,05:07:00,20_1,7
WD3,05:07:00,05:08:10,15_1,8
WD3,05:08:10,05:09:20,13_1,9
WD3,05:09:20,05:10:30,42_1,10
WD3,05:10:30,05:11:40,375_1,11
WD3,05:11:40,05:12:50,309_1,12
WD3,05:12:50,05:14:00,19_1,13
WD3,05:14:00,05:15:10,22_1,14
WD3,05:15:10,05:16:20,48_1,15
WD3,05:16:20,05:17:30,37_1,16
WD3,05:17:30,05:18:40,30_1,17
WD3,05:18:40,05:19:50,35_1,18
WD3,05:19:50,05:21:00,240_1,19
WD3,05:21:00,05:22:10,137_1,20
WD3,05:22:10,05:23:20,295_1,21
WD3,05:23:20,05:24:30,194_1,22
WD3,05:24:30,05:25:40,281_1,23
WD3,05:25:40,05:26:50,33_1,24
WD3,05:26:50,05:28:00,348_1,25
WD3,05:28:00,05:29:10,4_1,26
WD3,05:29:10,05:30:20,10_1,27
WD3,05:30:20,05:31:30,12_1,28
WD3,05:31:30,05:32:40,11_1,29
WD3,05:32:40,05:33:50,498_1,30
WD3,05:33:50,05:35:00,366_1,31
WD3,05:35:00,05:36:10,347_1,32
WD3,05:36:10,05:37:20,294_1,33
WD3,05:37:20,06:10:00,81_1,34
WD4,05:05:00,05:05:00,41_1,1
WD4,05:05:00,05:06:10,45_1,2
WD4,05:06:10,05:07:20,16_1,3
WD4,05:07:20,05:08:30,5_1,4
WD4,05:08:30,05:09:40,14_1,5
WD4,05:09:40,05:10:50,355_1,6
WD4,05:10:50,05:12:00,20_1,7
WD4,05:12:00,05:13:10,15_1,8
WD4,05:13:10,05:14:20,13_1,9
WD4,05:14:20,05:15:30,42_1,10
WD4,05:15:30,05:16:40,375_1,11
WD4,05:16:40,05:17:50,309_1,12
WD4,05:17:50,05:19:00,19_1,13
WD4,05:19:00,05:20:10,22_1,14
WD4,05:20:10,05:21:20,48_1,15
WD4,05:21:20,05:22:30,37_1,16
WD4,05:22:30,05:23:40,30_1,17
WD4,05:23:40,05:24:50,35_1,18
WD4,05:24:50,05:26:00,240_1,19
WD4,05:26:00,05:27:10,137_1,20
WD4,05:27:10,05:28:20,295_1,21
WD4,05:28:20,05:29:30,194_1,22
WD4,05:29:30,05:30:40,281_1,23
WD4,05:30:40,05:31:50,33_1,24
WD4,05:31:50,05:33:00,348_1,25
WD4,05:33:00,05:34:10,4_1,26
WD4,05:34:10,05:35:20,10_1,27
WD4,05:35:20,05:36:30,12_1,28
WD4,05:36:30,05:37:40,11_1,29
WD4,05:37:40,05:38:50,498_1,30
WD4,05:38:50,05:40:00,366_1,31
WD4,05:40:00,05:41:10,347_1,32
WD4,05:41:10,05:42:20,294_1,33
WD4,05:42:20,06:15:00,81_1,34
WD5,05:15:00,05:15:00,41_1,1
WD5,05:15:00,05:16:10,45_1,2
WD5,05:16:10,05:17:20,16_1,3
WD5,05:17:20,05:18:30,5_1,4
WD5,05:18:30,05:19:40,14_1,5
WD5,05:19:40,05:20:50,355_1,6
WD5,05:20:50,05:22:00,20_1,7
WD5,05:22:00,05:23:10,15_1,8
WD5,05:23:10,05:24:20,13_1,9
WD5,05:24:20,05:25:30,42_1,10
WD5,05:25:30,05:26:40,375_1,11
WD5,05:26:40,05:27:50,309_1,12
WD5,05:27:50,05:29:00,19_1,13
WD5,05:29:00,05:30:10,22_1,14
WD5,05:30:10,05:31:20,48_1,15
WD5,05:31:20,05:32:30,37_1,16
WD5,05:32:30,05:33:40,30_1,17
WD5,05:33:40,05:34:50,35_1,18
WD5,05:34:50,05:36:00,240_1,19
WD5,05:36:00,05:37:10,137_1,20
WD5,05:37:10,05:38:20,295_1,21
WD5,05:38:20,05:39:30,194_1,22
WD5,05:39:30,05:40:40,281_1,23
WD5,05:40:40,05:41:50,33_1,24
WD5,05:41:50,05:43:00,348_1,25
WD5,05:43:00,05:44:10,4_1,26
WD5,05:44:10,05:45:20,10_1,27
WD5,05:45:20,05:46:30,12_1,28
WD5,05:46:30,05:47:40,11_1,29
WD5,05:47:40,05:48:50,498_1,30
WD5,05:48:50,05:50:00,366_1,31
WD5,05:50:00,05:51:10,347_1,32
WD5,05:51:10,05:52:20,294_1,33
WD5,05:52:20,06:25:00,81_1,34
WD6,05:20:00,05:20:00,41_1,1
WD6,05:20:00,05:21:10,45_1,2
WD6,05:21:10,05:22:20,16_1,3
WD6,05:22:20,05:23:30,5_1,4
WD6,05:23:30,05:24:40,14_1,5
WD6,05:24:40,05:25:50,355_1,6
WD6,05:25:50,05:27:00,20_1,7
WD6,05:27:00,05:28:10,15_1,8
WD6,05:28:10,05:29:20,13_1,9
WD6,05:29:20,05:30:30,42_1,10
WD6,05:30:30,05:31:40,375_1,11
WD6,05:31:40,05:32:50,309_1,12
WD6,05:32:50,05:34:00,19_1,13
WD6,05:34:00,05:35:10,22_1,14
WD6,05:35:10,05:36:20,48_1,15
WD6,05:36:20,05:37:30,37_1,16
WD6,05:37:30,05:38:40,30_1,17
WD6,05:38:40,05:39:50,35_1,18
WD6,05:39:50,05:41:00,240_1,19
WD6,05:41:00,05:42:10,137_1,20
WD6,05:42:10,05:43:20,295_1,21
WD6,05:43:20,05:44:30,194_1,22
WD6,05:44:30,05:45:40,281_1,23
WD6,05:45:40,05:46:50,33_1,24
WD6,05:46:50,05:48:00,348_1,25
WD6,05:48:00,05:49:10,4_1,26
WD6,05:49:10,05:50:20,10_1,27
WD6,05:50:20,05:51:30,12_1,28
WD6,05:51:30,05:52:40,11_1,29
WD6,05:52:40,05:53:50,498_1,30
WD6,05:53:50,05:55:00,366_1,31
WD6,05:55:00,05:56:10,347_1,32
WD6,05:56:10,05:57:20,294_1,33
WD6,05:57:20,06:30:00,81_1,34
WD7,05:25:00,05:25:00,41_1,1
WD7,05:25:00,05:26:10,45_1,2
WD7,05:26:10,05:27:20,16_1,3
WD7,05:27:20,05:28:30,5_1,4
WD7,05:28:30,05:29:40,14_1,5
WD7,05:29:40,05:30:50,355_1,6
WD7,05:30:50,05:32:00,20_1,7
WD7,05:32:00,05:33:10,15_1,8
WD7,05:33:10,05:34:20,13_1,9
WD7,05:34:20,05:35:30,42_1,10
WD7,05:35:30,05:36:40,375_1,11
WD7,05:36:40,05:37:50,309_1,12
WD7,05:37:50,05:39:00,19_1,13
WD7,05:39:00,05:40:10,22_1,14
WD7,05:40:10,05:41:20,48_1,15
WD7,05:41:20,05:42:30,37_1,16
WD7,05:42:30,05:43:40,30_1,17
WD7,05:43:40,05:44:50,35_1,18
WD7,05:44:50,05:46:00,240_1,19
WD7,05:46:00,05:47:10,137_1,20
WD7,05:47:10,05:48:20,295_1,21
WD7,05:48:20,05:49:30,194_1,22
WD7,05:49:30,05:50:40,281_1,23
WD7,05:50:40,05:51:50,33_1,24
WD7,05:51:50,05:53:00,348_1,25
WD7,05:53:00,05:54:10,4_1,26
WD7,05:54:10,05:55:20,10_1,27
WD7,05:55:20,05:56:30,12_1,28
WD7,05:56:30,05:57:40,11_1,29
WD7,05:57:40,05:58:50,498_1,30
WD7,05:58:50,06:00:00,366_1,31
WD7,06:00:00,06:01:10,347_1,32
WD7,06:01:10,06:02:20,294_1,33
WD7,06:02:20,06:35:00,81_1,34
WD8,05:30:00,05:30:00,41_1,1
WD8,05:30:00,05:31:10,45_1,2
WD8,05:31:10,05:32:20,16_1,3
WD8,05:32:20,05:33:30,5_1,4
WD8,05:33:30,05:34:40,14_1,5
WD8,05:34:40,05:35:50,355_1,6
WD8,05:35:50,05:37:00,20_1,7
WD8,05:37:00,05:38:10,15_1,8
WD8,05:38:10,05:39:20,13_1,9
WD8,05:39:20,05:40:30,42_1,10
WD8,05:40:30,05:41:40,375_1,11
WD8,05:41:40,05:42:50,309_1,12
WD8,05:42:50,05:44:00,19_1,13
WD8,05:44:00,05:45:10,22_1,14
WD8,05:45:10,05:46:20,48_1,15
WD8,05:46:20,05:47:30,37_1,16
WD8,05:47:30,05:48:40,30_1,17
WD8,05:48:40,05:49:50,35_1,18
WD8,05:49:50,05:51:00,240_1,19
WD8,05:51:00,05:52:10,137_1,20
WD8,05:52:10,05:53:20,295_1,21
WD8,05:53:20,05:54:30,194_1,22
WD8,05:54:30,05:55:40,281_1,23
WD8,05:55:40,05:56:50,33_1,24
WD8,05:56:50,05:58:00,348_1,25
WD8,05:58:00,05:59:10,4_1,26
WD8,05:59:10,06:00:20,10_1,27
WD8,06:00:20,06:01:30,12_1,28
WD8,06:01:30,06:02:40,11_1,29
WD8,06:02:40,06:03:50,498_1,30
WD8,06:03:50,06:05:00,366_1,31
WD8,06:05:00,06:06:10,347_1,32
WD8,06:06:10,06:07:20,294_1,33
WD8,06:07:20,06:40:00,81_1,34
WD9,05:40:00,05:40:00,41_1,1
WD9,05:40:00,05:41:10,45_1,2
WD9,05:41:10,05:42:20,16_1,3
WD9,05:42:20,05:43:30,5_1,4
WD9,05:43:30,05:44:40,14_1,5
WD9,05:44:40,05:45:50,355_1,6
WD9,05:45:50,05:47:00,20_1,7
WD9,05:47:00,05:48:10,15_1,8
WD9,05:48:10,05:49:20,13_1,9
WD9,05:49:20,05:50:30,42_1,10
WD9,05:50:30,05:51:40,375_1,11
WD9,05:51:40,05:52:50,309_1,12
WD9,05:52:50,05:54:00,19_1,13
WD9,05:54:00,05:55:10,22_1,14
WD9,05:55:10,05:56:20,48_1,15
WD9,05:56:20,05:57:30,37_1,16
WD9,05:57:30,05:58:40,30_1,17
WD9,05:58:40,05:59:50,35_1,18
WD9,05:59:50,06:01:00,240_1,19
WD9,06:01:00,06:02:10,137_1,20
WD9,06:02:10,06:03:20,295_1,21
WD9,06:03:20,06:04:30,194_1,22
WD9,06:04:30,06:05:40,281_1,23
WD9,06:05:40,06:06:50,33_1,24
WD9,06:06:50,06:08:00,348_1,25
WD9,06:08:00,06:09:10,4_1,26
WD9,06:09:10,06:10:20,10_1,27
WD9,06:10:20,06:11:30,12_1,28
WD9,06:11:30,06:12:40,11_1,29
WD9,06:12:40,06:13:50,498_1,30
WD9,06:13:50,06:15:00,366_1,31
WD9,06:15:00,06:16:10,347_1,32
WD9,06:16:10,06:17:20,294_1,33
WD9,06:17:20,06:50:00,81_1,34
WD10,05:45:00,05:45:00,41_1,1
WD10,05:45:00,05:46:10,45_1,2
