stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station,platform_code
1_1,Uma P.T.C. College,,22.26786,70.72609,A,0,1,1
2_1,Kankot - Kalawad Road,,22.2693,70.73529,A,0,2,1
3_1,G.I.D.C. Gate 1,,22.24956,70.68125,A,0,3,1
4_1,Atmiya College/Central School,,22.2831,70.76767,A,0,4,1
5_1,Gokul Park,,22.25315,70.81807,A,0,5,1
6_1,Rangoli Park/Lakshmino Dholo,,22.27121,70.74962,A,0,6,1
7_1,Mota Mauva,,22.27154,70.75375,A,0,7,1
8_1,G.I.D.C. Gate 3,,22.24675,70.67356,A,0,8,1
9_1,V.V.P. Engineering College,,22.26421,70.71486,A,0,9,1
10_1,Crystal Mall,,22.27981,70.76389,A,0,10,1
11_1,A.G. Society,,22.27631,70.75982,A,0,11,1
12_1,Vrundavan Society,,22.27805,70.76202,A,0,12,1
13_1,Devpara,,22.27358,70.81257,A,0,13,1
14_1,Kothariya Chowk,,22.25828,70.81598,A,0,14,1
15_1,Ghanshyam Nagar/Nanda Hall,,22.2693,70.81317,A,0,15,1
16_1,Ranuja Temple,,22.24765,70.8183,A,0,16,1
17_1,Trikon baug ,,22.29497,70.80169,A,0,17,1
18_1,Astron Chowk/Mahavir Chowk,,22.29147,70.78802,A,0,18,1
19_1,Kothariya Colony,,22.2811,70.80735,A,0,19,1
20_1,Govindnagar,,22.26661,70.81387,A,0,20,1
21_1,G.I.D.C. Gate 2,,22.249,70.67965,A,0,21,1
22_1,Sheth High School,,22.28078,70.80531,A,0,22,1
23_1,Ramkrushna Ashram,,22.29053,70.79453,A,0,23,1
24_1,Virda Vajadi Village,,22.26044,70.70979,A,0,24,1
25_1,Cosmoplex Cinema,,22.27027,70.74197,A,0,25,1
26_1,Metoda crossing,,22.22949,70.65796,A,0,26,1
27_1,Khirasara Gam Chowkdi,,22.23756,70.6544,A,0,27,1
28_1,K.K.V. Hall,,22.28574,70.77113,A,0,28,1
29_1,Sorthiyavadi circle,,22.28234,70.81049,A,0,29,1
30_1,Aryasamaj,,22.28722,70.80104,A,0,30,1
31_1,Kotecha Chok,,22.29164,70.77967,A,0,31,1
32_1,Mahila College Chowk (L.I.C. Office),,22.29351,70.78628,A,0,32,1
33_1,Swaminarayan Temple/Mahila College,,22.29273,70.78261,A,0,33,1
34_1,Hemugadhavi Hall,,22.2894,70.78968,A,0,34,1
35_1,S.T. Bus Stand,,22.2914,70.80187,A,0,35,1
36_1,Haripar Village,,22.2652,70.71586,A,0,36,1
37_1,Kanta Stri Vikas Gruh,,22.2843,70.80107,A,0,37,1
38_1,150 feet road crossing - kalawad road,,22.27075,70.74562,A,0,38,1
39_1,Vruksh mandir,,22.26908,70.73277,A,0,39,1
40_1,Wockhardt Hospital,,22.28809,70.77489,A,0,40,1
41_1,Kothariya Gam,,22.23411,70.81762,A,0,41,1
42_1,Nilkanth Cinema,,22.27593,70.81217,A,0,42,1
43_1,Malaviya Chowk,,22.29228,70.79905,A,0,43,1
44_1,ITI College Lodhika,,22.2345,70.65337,A,0,44,1
45_1,Kothariya Housing,,22.24376,70.81774,A,0,45,1
46_1,Narsinh Mehta Garden,,22.28938,70.79307,A,0,46,1
47_1,Everest Park,,22.27403,70.75729,A,0,47,1
48_1,Bhaktinagar Circle,,22.28022,70.80218,A,0,48,1
49_1,Nyara Gam,,22.34863,70.72285,A,0,49,1
50_1,Gokulnagar Aproch (Nirav complex),,22.25766,70.7943,A,0,50,1
51_1,Thebachda - Mahika Patiu,,22.27454,70.86067,A,0,51,1
52_1,NALODA NAGAR,,22.26485,70.82318,A,0,52,1
53_1,RAM VAN,,22.26003,70.83303,A,0,53,1
54_1,Jivan Jyot School,,22.28779,70.76228,A,0,54,1
55_1,RMC Transport Nagar,,22.2987,70.83314,A,0,55,1
56_1,Bhojalram Society Crossing,,22.29605,70.83395,A,0,56,1
57_1,Parsananagar (Ayapapaa mandir),,22.31403,70.79107,A,0,57,1
58_1,Bhagavati para Police choki,,22.31653,70.80809,A,0,58,1
59_1,Ramdevpir Chowk,,22.31118,70.76777,A,0,59,1
60_1,Mochinagar,,22.31377,70.77455,A,0,60,1
61_1,shree ram hospital(metoda),,22.22746,70.67747,A,0,61,1
62_1,Special School For Boys,,22.31171,70.79387,A,0,62,1
63_1,Mahapuja Dham Chowk (RMTS),,22.27113,70.78019,A,0,63,1
64_1,Shital  Park (BRTS),,22.31629,70.76768,A,0,64,1
65_1,Unicare Hospital,,22.3409,70.7591,A,0,65,1
66_1,Marutinagar (Sarvoday Housing Society),,22.1666,70.79423,A,0,66,1
67_1,Aji vasahat-2,,22.27111,70.83555,A,0,67,1
68_1,Azad Chowk,,22.29916,70.78131,A,0,68,1
69_1,Court yard,,22.2543,70.76478,A,0,69,1
70_1,Arpit eng. Collage,,22.43547,70.78158,A,0,70,1
71_1,Ramnath Para (B-Division Police Station),,22.29125,70.81407,A,0,71,1
72_1,Raiya Depot ,,22.30299,70.76878,A,0,72,1
73_1,new Munjka,,22.28871,70.74143,A,0,73,1
74_1,Dudhsagar Road Crossing,,22.29269,70.83501,A,0,74,1
75_1,Jalaram Chowk (Gayatrinagar Road),,22.2771,70.80447,A,0,75,1
76_1,Shree Ranima rudima chok,,22.31205,70.76354,A,0,76,1
77_1,Aandhra bank(kishan gate road),,22.23992,70.67502,A,0,77,1
78_1,Aji 66 KV Station-2,,22.26572,70.83123,A,0,78,1
79_1,Mavdi Chowk (BRTS),,22.26524,70.78423,A,0,79,1
80_1,Rafuji Colony/Shashtri Nagar,,22.3163,70.79905,A,0,80,1
81_1,Saurashtra University,,22.29047,70.74368,A,0,81,1
82_1,Yadunandan chowk,,22.26611,70.77818,A,0,82,1
83_1,Sanjayraj Collage,,22.3792,70.83216,A,0,83,1
84_1,Panchsheel Society Aproch Road (Dalibai Hospital),,22.26192,70.79396,A,0,84,1
85_1,Vavdee gam/ school,,22.2352,70.79053,A,0,85,1
86_1,Raiya Village,,22.299,70.75149,A,0,86,1
87_1,Manharpar,,22.33833,70.77642,A,0,87,1
88_1,S.T. Workshop,,22.25823,70.8001,A,0,88,1
89_1,Rajlaxmi soci.,,22.32522,70.81328,A,0,89,1
90_1,Ashtha resi/ Sadhuvasvani kunj road,,22.32502,70.79414,A,0,90,1
91_1,Gramudhyog Mandir Pedak,,22.30774,70.82832,A,0,91,1
92_1,Hospital Chowk,,22.3038,70.80201,A,0,92,1
93_1,Gundawadi Police Chowki,,22.28873,70.80781,A,0,93,1
94_1,Swaminarayan Chowk,,22.26819,70.79349,A,0,94,1
95_1,Bhagvati para sheri no.9,,22.31553,70.80884,A,0,95,1
96_1,Gauridad Village,,22.39713,70.79459,A,0,96,1
97_1,Dr.Hedgevar Township,,22.32883,70.79583,A,0,97,1
98_1,Gujrat Houseing Board - aavas yojna,,22.26494,70.74413,A,0,98,1
99_1,Ram Van Crossing,,22.2701,70.82806,A,0,99,1
100_1,Central Ware House,,22.32447,70.79615,A,0,100,1
101_1,Bhakti park,,22.33,70.79341,A,0,101,1
102_1,Krishna Banglows,,22.34299,70.78102,A,0,102,1
103_1,Bhagirath Society - Marketing Yard,,22.30495,70.82986,A,0,103,1
104_1,Ridhhi Sidhhi Park Crossing,,22.2421,70.80802,A,0,104,1
105_1,Indira Circle (RMTS),,22.2886,70.77146,A,0,105,1
106_1,Jagruti Shramjivi Society,,22.31357,70.78807,A,0,106,1
107_1,Nandbhumi Tower,,22.29348,70.74948,A,0,107,1
108_1,BalajiPark/Satelite Park,,22.2947,70.75862,A,0,108,1
109_1,Shree city (Munjka gam),,22.28986,70.73521,A,0,109,1
