trip_id,arrival_time,departure_time,stop_id,stop_sequence
WDR611,07:05:00,07:05:00,399,1
WDR611,07:05:00,07:06:10,245,2
WDR611,07:06:10,07:07:20,195,3
WDR611,07:07:20,07:08:30,244,4
WDR611,07:08:30,07:09:40,620,5
WDR611,07:09:40,07:10:50,302,6
WDR611,07:10:50,07:12:00,345,7
WDR611,07:12:00,07:13:10,656,8
WDR611,07:13:10,07:14:20,352,9
WDR611,07:14:20,07:15:30,466,10
WDR611,07:15:30,07:16:40,303,11
WDR611,07:16:40,07:17:50,13,12
WDR611,07:17:50,07:19:00,515,13
WDR611,07:19:00,07:20:10,243,14
WDR611,07:20:10,07:21:20,601,15
WDR611,07:21:20,07:22:30,27,16
WDR611,07:22:30,07:23:40,311,17
WDR611,07:23:40,07:24:50,308,18
WDR611,07:24:50,07:26:00,307,19
WDR611,07:26:00,07:27:10,313,20
WDR611,07:27:10,07:28:20,505,21
WDR611,07:28:20,07:29:30,192,22
WDR611,07:29:30,07:30:40,114,23
WDR611,07:30:40,07:31:50,309,24
WDR611,07:31:50,07:33:00,230,25
WDR611,07:33:00,07:34:10,207,26
WDR611,07:34:10,07:35:20,182,27
WDR611,07:35:20,07:36:30,140,28
WDR611,07:36:30,07:37:40,406,29
WDR611,07:37:40,07:38:50,625,30
WDR611,07:38:50,07:40:00,616,31
WDR611,07:40:00,07:41:10,310,32
WDR611,07:41:10,07:42:20,579,33
WDR611,07:42:20,07:43:30,101,34
WDR611,07:43:30,07:44:40,394,35
WDR611,07:44:40,07:45:50,285,36
WDR611,07:45:50,07:47:00,64,37
WDR611,07:47:00,07:48:10,520,38
WDR611,07:48:10,07:40:00,639,39
WDR612,07:25:00,07:25:00,399,1
WDR612,07:25:00,07:26:10,245,2
WDR612,07:26:10,07:27:20,195,3
WDR612,07:27:20,07:28:30,244,4
WDR612,07:28:30,07:29:40,620,5
WDR612,07:29:40,07:30:50,302,6
WDR612,07:30:50,07:32:00,345,7
WDR612,07:32:00,07:33:10,656,8
WDR612,07:33:10,07:34:20,352,9
WDR612,07:34:20,07:35:30,466,10
WDR612,07:35:30,07:36:40,303,11
WDR612,07:36:40,07:37:50,13,12
WDR612,07:37:50,07:39:00,515,13
WDR612,07:39:00,07:40:10,243,14
WDR612,07:40:10,07:41:20,601,15
WDR612,07:41:20,07:42:30,27,16
WDR612,07:42:30,07:43:40,311,17
WDR612,07:43:40,07:44:50,308,18
WDR612,07:44:50,07:46:00,307,19
WDR612,07:46:00,07:47:10,313,20
WDR612,07:47:10,07:48:20,505,21
WDR612,07:48:20,07:49:30,192,22
WDR612,07:49:30,07:50:40,114,23
WDR612,07:50:40,07:51:50,309,24
WDR612,07:51:50,07:53:00,230,25
WDR612,07:53:00,07:54:10,207,26
WDR612,07:54:10,07:55:20,182,27
WDR612,07:55:20,07:56:30,140,28
WDR612,07:56:30,07:57:40,406,29
WDR612,07:57:40,07:58:50,625,30
WDR612,07:58:50,08:00:00,616,31
WDR612,08:00:00,08:01:10,310,32
WDR612,08:01:10,08:02:20,579,33
WDR612,08:02:20,08:03:30,101,34
WDR612,08:03:30,08:04:40,394,35
WDR612,08:04:40,08:05:50,285,36
WDR612,08:05:50,08:07:00,64,37
WDR612,08:07:00,08:08:10,520,38
WDR612,08:08:10,08:00:00,639,39
WDR613,07:45:00,07:45:00,399,1
WDR613,07:45:00,07:46:10,245,2
WDR613,07:46:10,07:47:20,195,3
WDR613,07:47:20,07:48:30,244,4
WDR613,07:48:30,07:49:40,620,5
WDR613,07:49:40,07:50:50,302,6
WDR613,07:50:50,07:52:00,345,7
WDR613,07:52:00,07:53:10,656,8
WDR613,07:53:10,07:54:20,352,9
WDR613,07:54:20,07:55:30,466,10
WDR613,07:55:30,07:56:40,303,11
WDR613,07:56:40,07:57:50,13,12
WDR613,07:57:50,07:59:00,515,13
WDR613,07:59:00,08:00:10,243,14
WDR613,08:00:10,08:01:20,601,15
WDR613,08:01:20,08:02:30,27,16
WDR613,08:02:30,08:03:40,311,17
WDR613,08:03:40,08:04:50,308,18
WDR613,08:04:50,08:06:00,307,19
WDR613,08:06:00,08:07:10,313,20
WDR613,08:07:10,08:08:20,505,21
WDR613,08:08:20,08:09:30,192,22
WDR613,08:09:30,08:10:40,114,23
WDR613,08:10:40,08:11:50,309,24
WDR613,08:11:50,08:13:00,230,25
WDR613,08:13:00,08:14:10,207,26
WDR613,08:14:10,08:15:20,182,27
WDR613,08:15:20,08:16:30,140,28
WDR613,08:16:30,08:17:40,406,29
WDR613,08:17:40,08:18:50,625,30
WDR613,08:18:50,08:20:00,616,31
WDR613,08:20:00,08:21:10,310,32
WDR613,08:21:10,08:22:20,579,33
WDR613,08:22:20,08:23:30,101,34
WDR613,08:23:30,08:24:40,394,35
WDR613,08:24:40,08:25:50,285,36
WDR613,08:25:50,08:27:00,64,37
WDR613,08:27:00,08:28:10,520,38
WDR613,08:28:10,08:20:00,639,39
WDR614,08:05:00,08:05:00,399,1
WDR614,08:05:00,08:06:10,245,2
WDR614,08:06:10,08:07:20,195,3
WDR614,08:07:20,08:08:30,244,4
WDR614,08:08:30,08:09:40,620,5
WDR614,08:09:40,08:10:50,302,6
WDR614,08:10:50,08:12:00,345,7
WDR614,08:12:00,08:13:10,656,8
WDR614,08:13:10,08:14:20,352,9
WDR614,08:14:20,08:15:30,466,10
WDR614,08:15:30,08:16:40,303,11
WDR614,08:16:40,08:17:50,13,12
WDR614,08:17:50,08:19:00,515,13
WDR614,08:19:00,08:20:10,243,14
WDR614,08:20:10,08:21:20,601,15
WDR614,08:21:20,08:22:30,27,16
WDR614,08:22:30,08:23:40,311,17
WDR614,08:23:40,08:24:50,308,18
WDR614,08:24:50,08:26:00,307,19
WDR614,08:26:00,08:27:10,313,20
WDR614,08:27:10,08:28:20,505,21
WDR614,08:28:20,08:29:30,192,22
WDR614,08:29:30,08:30:40,114,23
WDR614,08:30:40,08:31:50,309,24
WDR614,08:31:50,08:33:00,230,25
WDR614,08:33:00,08:34:10,207,26
WDR614,08:34:10,08:35:20,182,27
WDR614,08:35:20,08:36:30,140,28
WDR614,08:36:30,08:37:40,406,29
WDR614,08:37:40,08:38:50,625,30
WDR614,08:38:50,08:40:00,616,31
WDR614,08:40:00,08:41:10,310,32
WDR614,08:41:10,08:42:20,579,33
WDR614,08:42:20,08:43:30,101,34
WDR614,08:43:30,08:44:40,394,35
WDR614,08:44:40,08:45:50,285,36
WDR614,08:45:50,08:47:00,64,37
WDR614,08:47:00,08:48:10,520,38
WDR614,08:48:10,08:40:00,639,39
WDR615,08:25:00,08:25:00,399,1
WDR615,08:25:00,08:26:10,245,2
WDR615,08:26:10,08:27:20,195,3
WDR615,08:27:20,08:28:30,244,4
WDR615,08:28:30,08:29:40,620,5
WDR615,08:29:40,08:30:50,302,6
WDR615,08:30:50,08:32:00,345,7
WDR615,08:32:00,08:33:10,656,8
WDR615,08:33:10,08:34:20,352,9
WDR615,08:34:20,08:35:30,466,10
WDR615,08:35:30,08:36:40,303,11
WDR615,08:36:40,08:37:50,13,12
WDR615,08:37:50,08:39:00,515,13
WDR615,08:39:00,08:40:10,243,14
WDR615,08:40:10,08:41:20,601,15
WDR615,08:41:20,08:42:30,27,16
WDR615,08:42:30,08:43:40,311,17
WDR615,08:43:40,08:44:50,308,18
WDR615,08:44:50,08:46:00,307,19
WDR615,08:46:00,08:47:10,313,20
WDR615,08:47:10,08:48:20,505,21
WDR615,08:48:20,08:49:30,192,22
WDR615,08:49:30,08:50:40,114,23
WDR615,08:50:40,08:51:50,309,24
WDR615,08:51:50,08:53:00,230,25
WDR615,08:53:00,08:54:10,207,26
WDR615,08:54:10,08:55:20,182,27
WDR615,08:55:20,08:56:30,140,28
WDR615,08:56:30,08:57:40,406,29
WDR615,08:57:40,08:58:50,625,30
WDR615,08:58:50,09:00:00,616,31
WDR615,09:00:00,09:01:10,310,32
WDR615,09:01:10,09:02:20,579,33
WDR615,09:02:20,09:03:30,101,34
WDR615,09:03:30,09:04:40,394,35
WDR615,09:04:40,09:05:50,285,36
WDR615,09:05:50,09:07:00,64,37
WDR615,09:07:00,09:08:10,520,38
WDR615,09:08:10,09:00:00,639,39
WDR616,08:45:00,08:45:00,399,1
WDR616,08:45:00,08:46:10,245,2
WDR616,08:46:10,08:47:20,195,3
WDR616,08:47:20,08:48:30,244,4
WDR616,08:48:30,08:49:40,620,5
WDR616,08:49:40,08:50:50,302,6
WDR616,08:50:50,08:52:00,345,7
WDR616,08:52:00,08:53:10,656,8
WDR616,08:53:10,08:54:20,352,9
WDR616,08:54:20,08:55:30,466,10
WDR616,08:55:30,08:56:40,303,11
WDR616,08:56:40,08:57:50,13,12
WDR616,08:57:50,08:59:00,515,13
WDR616,08:59:00,09:00:10,243,14
WDR616,09:00:10,09:01:20,601,15
WDR616,09:01:20,09:02:30,27,16
WDR616,09:02:30,09:03:40,311,17
WDR616,09:03:40,09:04:50,308,18
WDR616,09:04:50,09:06:00,307,19
WDR616,09:06:00,09:07:10,313,20
WDR616,09:07:10,09:08:20,505,21
WDR616,09:08:20,09:09:30,192,22
WDR616,09:09:30,09:10:40,114,23
WDR616,09:10:40,09:11:50,309,24
WDR616,09:11:50,09:13:00,230,25
WDR616,09:13:00,09:14:10,207,26
WDR616,09:14:10,09:15:20,182,27
WDR616,09:15:20,09:16:30,140,28
WDR616,09:16:30,09:17:40,406,29
WDR616,09:17:40,09:18:50,625,30
WDR616,09:18:50,09:20:00,616,31
WDR616,09:20:00,09:21:10,310,32
WDR616,09:21:10,09:22:20,579,33
WDR616,09:22:20,09:23:30,101,34
WDR616,09:23:30,09:24:40,394,35
WDR616,09:24:40,09:25:50,285,36
WDR616,09:25:50,09:27:00,64,37
WDR616,09:27:00,09:28:10,520,38
WDR616,09:28:10,09:20:00,639,39
WDR617,09:05:00,09:05:00,399,1
WDR617,09:05:00,09:06:10,245,2
WDR617,09:06:10,09:07:20,195,3
WDR617,09:07:20,09:08:30,244,4
WDR617,09:08:30,09:09:40,620,5
WDR617,09:09:40,09:10:50,302,6
WDR617,09:10:50,09:12:00,345,7
WDR617,09:12:00,09:13:10,656,8
WDR617,09:13:10,09:14:20,352,9
WDR617,09:14:20,09:15:30,466,10
WDR617,09:15:30,09:16:40,303,11
WDR617,09:16:40,09:17:50,13,12
WDR617,09:17:50,09:19:00,515,13
WDR617,09:19:00,09:20:10,243,14
WDR617,09:20:10,09:21:20,601,15
WDR617,09:21:20,09:22:30,27,16
WDR617,09:22:30,09:23:40,311,17
WDR617,09:23:40,09:24:50,308,18
WDR617,09:24:50,09:26:00,307,19
WDR617,09:26:00,09:27:10,313,20
WDR617,09:27:10,09:28:20,505,21
WDR617,09:28:20,09:29:30,192,22
WDR617,09:29:30,09:30:40,114,23
WDR617,09:30:40,09:31:50,309,24
WDR617,09:31:50,09:33:00,230,25
WDR617,09:33:00,09:34:10,207,26
WDR617,09:34:10,09:35:20,182,27
WDR617,09:35:20,09:36:30,140,28
WDR617,09:36:30,09:37:40,406,29
WDR617,09:37:40,09:38:50,625,30
WDR617,09:38:50,09:40:00,616,31
WDR617,09:40:00,09:41:10,310,32
WDR617,09:41:10,09:42:20,579,33
WDR617,09:42:20,09:43:30,101,34
WDR617,09:43:30,09:44:40,394,35
WDR617,09:44:40,09:45:50,285,36
WDR617,09:45:50,09:47:00,64,37
WDR617,09:47:00,09:48:10,520,38
WDR617,09:48:10,09:40:00,639,39
WDR618,09:25:00,09:25:00,399,1
WDR618,09:25:00,09:26:10,245,2
WDR618,09:26:10,09:27:20,195,3
WDR618,09:27:20,09:28:30,244,4
WDR618,09:28:30,09:29:40,620,5
WDR618,09:29:40,09:30:50,302,6
WDR618,09:30:50,09:32:00,345,7
WDR618,09:32:00,09:33:10,656,8
WDR618,09:33:10,09:34:20,352,9
WDR618,09:34:20,09:35:30,466,10
WDR618,09:35:30,09:36:40,303,11
WDR618,09:36:40,09:37:50,13,12
WDR618,09:37:50,09:39:00,515,13
WDR618,09:39:00,09:40:10,243,14
WDR618,09:40:10,09:41:20,601,15
WDR618,09:41:20,09:42:30,27,16
WDR618,09:42:30,09:43:40,311,17
WDR618,09:43:40,09:44:50,308,18
WDR618,09:44:50,09:46:00,307,19
WDR618,09:46:00,09:47:10,313,20
WDR618,09:47:10,09:48:20,505,21
WDR618,09:48:20,09:49:30,192,22
WDR618,09:49:30,09:50:40,114,23
WDR618,09:50:40,09:51:50,309,24
WDR618,09:51:50,09:53:00,230,25
WDR618,09:53:00,09:54:10,207,26
WDR618,09:54:10,09:55:20,182,27
WDR618,09:55:20,09:56:30,140,28
WDR618,09:56:30,09:57:40,406,29
WDR618,09:57:40,09:58:50,625,30
WDR618,09:58:50,10:00:00,616,31
WDR618,10:00:00,10:01:10,310,32
WDR618,10:01:10,10:02:20,579,33
WDR618,10:02:20,10:03:30,101,34
WDR618,10:03:30,10:04:40,394,35
WDR618,10:04:40,10:05:50,285,36
WDR618,10:05:50,10:07:00,64,37
WDR618,10:07:00,10:08:10,520,38
WDR618,10:08:10,10:00:00,639,39
WDR619,09:45:00,09:45:00,399,1
WDR619,09:45:00,09:46:10,245,2
WDR619,09:46:10,09:47:20,195,3
WDR619,09:47:20,09:48:30,244,4
WDR619,09:48:30,09:49:40,620,5
WDR619,09:49:40,09:50:50,302,6
WDR619,09:50:50,09:52:00,345,7
