route_id,service_id,trip_id,trip_headsign,shape_id
R61,WD,WDR611,Rjkt,sh37
R61,WD,WDR612,Rjkt,sh37
R61,WD,WDR613,Rjkt,sh37
R61,WD,WDR614,Rjkt,sh37
R61,WD,WDR615,Rjkt,sh37
R61,WD,WDR616,Rjkt,sh37
R61,WD,WDR617,Rjkt,sh37
R61,WD,WDR618,Rjkt,sh37
R61,WD,WDR619,Rjkt,sh37
R61,WD,WDR6110,Rjkt,sh37
R61,WD,WDR6111,Rjkt,sh37
R61,WD,WDR6112,Rjkt,sh37
R61,WD,WDR6113,Rjkt,sh37
R61,WD,WDR6114,Rjkt,sh37
R61,WD,WDR6115,Rjkt,sh37
R61,WD,WDR6116,Rjkt,sh37
R61,WD,WDR6117,Rjkt,sh37
R61,WD,WDR6118,Rjkt,sh37
R61,WD,WDR6119,Rjkt,sh37
R61,WD,WDR6120,Rjkt,sh37
R61,WD,WDR6121,Rjkt,sh37
R61,WD,WDR6122,Rjkt,sh37
R61,WD,WDR6123,Rjkt,sh37
R61,WD,WDR6124,Rjkt,sh37
R61,WD,WDR6125,Rjkt,sh37
R61,WD,WDR6126,Rjkt,sh37
R61,WD,WDR6127,Rjkt,sh37
R61,WD,WDR6128,Rjkt,sh37
R61,WD,WDR6129,Rjkt,sh37
R61,WD,WDR6130,Rjkt,sh37
R61,WD,WDR6131,Rjkt,sh37
R61,WD,WDR6132,Rjkt,sh37
R61,WD,WDR6133,Rjkt,sh37
R61,WD,WDR6134,Rjkt,sh37
R61,WD,WDR6135,Rjkt,sh37
R61,WD,WDR6136,Rjkt,sh37
R61,WD,WDR6137,Rjkt,sh37
R61,WD,WDR6138,Rjkt,sh37
R61,WD,WDR6139,Rjkt,sh37
R61,WD,WDR6140,Rjkt,sh37
R61,WD,WDR6141,Rjkt,sh37
R61,WD,WDR6142,Rjkt,sh37
R61,WD,WDR6143,Rjkt,sh37
R61,WD,WDR6144,Rjkt,sh37
R61,WD,WDR6145,Rjkt,sh37
R61,WD,WDR6146,Rjkt,sh37
R61,WD,WDR6147,Rjkt,sh37
R61,WD,WDR6148,Rjkt,sh37
R61,WD,WDR61500,Rjkt,sh37
R61,WD,WDR611000,Rjkt,sh37
R61,WD,WDR611500,Rjkt,sh37
R61,WD,WDR612000,Rjkt,sh37
R61,WD,WDR612500,Rjkt,sh37
R61,WD,WDR613000,Rjkt,sh37
R61,WD,WDR613500,Rjkt,sh37
R61,WD,WDR614000,Rjkt,sh37
R61,WD,WDR614500,Rjkt,sh37
R61,WD,WDR615000,Rjkt,sh37
R61,WD,WDR615500,Rjkt,sh37
R61,WD,WDR616000,Rjkt,sh37
R61,WD,WDR616500,Rjkt,sh37
R61,WD,WDR617000,Rjkt,sh37
R61,WD,WDR617500,Rjkt,sh37
R61,WD,WDR618000,Rjkt,sh37
R61,WD,WDR618500,Rjkt,sh37
R61,WD,WDR619000,Rjkt,sh37
R61,WD,WDR619500,Rjkt,sh37
R61,WD,WDR6110000,Rjkt,sh37
R61,WD,WDR6110500,Rjkt,sh37
R61,WD,WDR6111000,Rjkt,sh37
R61,WD,WDR6111500,Rjkt,sh37
R61,WD,WDR6112000,Rjkt,sh37
R61,WD,WDR6112500,Rjkt,sh37
R61,WD,WDR6113000,Rjkt,sh37
R61,WD,WDR6113500,Rjkt,sh37
R61,WD,WDR6114000,Rjkt,sh37
R61,WD,WDR6114500,Rjkt,sh37
R61,WD,WDR6115000,Rjkt,sh37
R61,WD,WDR6115500,Rjkt,sh37
R61,WD,WDR6116000,Rjkt,sh37
R61,WD,WDR6116500,Rjkt,sh37
R61,WD,WDR6117000,Rjkt,sh37
R61,WD,WDR6117500,Rjkt,sh37
R61,WD,WDR6118000,Rjkt,sh37
R61,WD,WDR6118500,Rjkt,sh37
R61,WD,WDR6119000,Rjkt,sh37
R61,WD,WDR6119500,Rjkt,sh37
R61,WD,WDR6120000,Rjkt,sh37
R61,WD,WDR6120500,Rjkt,sh37
R61,WD,WDR6121000,Rjkt,sh37
R61,WD,WDR6121500,Rjkt,sh37
R61,WD,WDR6122000,Rjkt,sh37
R61,WD,WDR6122500,Rjkt,sh37
R61,WD,WDR6123000,Rjkt,sh37
R61,WD,WDR6123500,Rjkt,sh37
R61,WD,WDR6124000,Rjkt,sh37
R73,WD,WDR731,Rjkt,sh37
R73,WD,WDR732,Rjkt,sh37
R73,WD,WDR733,Rjkt,sh37
R73,WD,WDR734,Rjkt,sh37
R73,WD,WDR735,Rjkt,sh37
R73,WD,WDR736,Rjkt,sh37
R73,WD,WDR737,Rjkt,sh37
R73,WD,WDR738,Rjkt,sh37
R73,WD,WDR739,Rjkt,sh37
R73,WD,WDR7310,Rjkt,sh37
R73,WD,WDR7311,Rjkt,sh37
R73,WD,WDR7312,Rjkt,sh37
R73,WD,WDR7313,Rjkt,sh37
R73,WD,WDR7314,Rjkt,sh37
R73,WD,WDR7315,Rjkt,sh37
R73,WD,WDR7316,Rjkt,sh37
R73,WD,WDR7317,Rjkt,sh37
R73,WD,WDR7318,Rjkt,sh37
R73,WD,WDR7319,Rjkt,sh37
R73,WD,WDR7320,Rjkt,sh37
R73,WD,WDR7321,Rjkt,sh37
R73,WD,WDR7322,Rjkt,sh37
R73,WD,WDR7323,Rjkt,sh37
R73,WD,WDR7324,Rjkt,sh37
R73,WD,WDR73500,Rjkt,sh37
R73,WD,WDR731000,Rjkt,sh37
R73,WD,WDR731500,Rjkt,sh37
R73,WD,WDR732000,Rjkt,sh37
R73,WD,WDR732500,Rjkt,sh37
R73,WD,WDR733000,Rjkt,sh37
R73,WD,WDR733500,Rjkt,sh37
R73,WD,WDR734000,Rjkt,sh37
R73,WD,WDR734500,Rjkt,sh37
R73,WD,WDR735000,Rjkt,sh37
R73,WD,WDR735500,Rjkt,sh37
R73,WD,WDR736000,Rjkt,sh37
R73,WD,WDR736500,Rjkt,sh37
R73,WD,WDR737000,Rjkt,sh37
R73,WD,WDR737500,Rjkt,sh37
R73,WD,WDR738000,Rjkt,sh37
R73,WD,WDR738500,Rjkt,sh37
R73,WD,WDR739000,Rjkt,sh37
R73,WD,WDR739500,Rjkt,sh37
R73,WD,WDR7310000,Rjkt,sh37
R73,WD,WDR7310500,Rjkt,sh37
R73,WD,WDR7311000,Rjkt,sh37
R73,WD,WDR7311500,Rjkt,sh37
R73,WD,WDR7312000,Rjkt,sh37
