stop_name,stop_lat,stop_lon,stop_id,stop_desc,zone_id,location_type,parent_station,platform_code
150 feet Jamnagar road crossing,22.33980835,70.8089299,491,150 feet Jamnagar road crossing,A,1,491,1
150 feet Ring Road (Bedi Bypass),22.3285884,70.87060472,1288,150 feet Ring Road (Bedi Bypass),A,1,1288,1
150 feet Ring Road (Raiya Road Crossing),22.30409862,70.7276521,1377,150 feet Ring Road (Raiya Road Crossing),A,1,1377,1
150 feet crossing - bhavnagar road,22.245622,70.885282,1586,150 feet crossing - bhavnagar road,A,1,1586,1
150 feet road crossing - kalawad road,22.270775,70.74561,102,150 feet road crossing - kalawad road,A,1,102,1
150 fit ring road crossing (Aims road),22.34042405,70.77762956,1429,150 fit ring road crossing (Aims road),A,1,1429,1
150ft ring road Crossing,22.28582307,70.73562638,1558,150ft ring road Crossing,A,1,1558,1
2nd ring road crossing,22.26638572,70.74905194,1250,2nd ring road crossing,A,1,1250,1
2nd ring road crossing SARDAR CHOWK,22.19973263,70.82165224,1011,2nd ring road crossing SARDAR CHOWK,A,1,1011,1
A.G. Society,22.276305,70.75981,106,A.G. Society,A,1,106,1
A.G. Staff Quarter,22.28151,70.75078,381,A.G. Staff Quarter,A,1,381,1
AG park,22.279504,70.84629813,1405,AG park,A,1,1405,1
AIIM Hospital,22.3711,70.7492,523,AIIM Hospital,A,1,523,1
AIIM Hospital Circle,22.3492,70.7491,525,AIIM Hospital Circle,A,1,525,1
AIIM Hospital Gate,22.3735,70.7462,524,AIIM Hospital Gate,A,1,524,1
AIIMS Hospital,22.37108,70.74915,1388,AIIMS Hospital,A,1,1388,1
AIIMS Hospital Circle,22.34916444,70.74908469,1390,AIIMS Hospital Circle,A,1,1390,1
AIIMS Hospital Crossing,22.34040255,70.77786613,1273,AIIMS Hospital Crossing,A,1,1273,1
AIIMS Hospital Gate,22.37353,70.74621,1389,AIIMS Hospital Gate,A,1,1389,1
AKSHAR PARISHAR,22.24925098,70.76943811,1536,AKSHAR PARISHAR,A,1,1536,1
AV Jasani TB Hospital,22.21428,70.80132,7,AV Jasani TB Hospital,A,1,7,1
