route,stop_name,seq,distance,stop_id
R61,Naranka Gram,1,0.0,399
R61,J K. Industrial Zone,2,4.1,245
R61,Goldcoin Angel Co.,3,4.7,195
R61,J D Industrial Area,4,5.2,244
R61,Steam Power Solar Co.,5,5.9,620
R61,Khodiyar chowk Lothada,6,6.7,302
R61,Lothada gam,7,7.2,345
R61,Vadalia Foods,8,7.5,656
R61,Mahaavir ind. Area,9,9.3,352
R61,RTO Khokhadadad,10,9.6,466
R61,Khokhadadad gam,11,10.7,303
R61,2nd ring road crossing SARDAR CHOWK,12,11.5,13
R61,Riverside International School,13,11.9,515
R61,Iswar residency,14,12.6,243
R61,Shree Rokadiya Party Lawns,15,13.4,601
R61,Aadarsh Shivalaya Society,16,15.0,27
R61,Kothariya Gam,17,15.5,311
R61,Kotharia Village/Jai Bhawani Chowk,18,15.7,308
R61,Kotharia Gam Talukashala,19,15.9,307
R61,Kothariya Housing,20,16.2,313
R61,Ranuja Temple,21,17.0,505
R61,Gokul Park,22,17.4,192
R61,Brahmani Hall,23,17.8,114
R61,Kothariya Chowk,24,18.0,309
R61,Hudco Police Chowki,25,18.5,230
R61,Govindnagar,26,19.0,207
R61,Ghanshyam Nagar/Nanda Hall,27,19.3,182
R61,Devpara,28,19.8,140
R61,Nilkanth Cinema,29,20.0,406
R61,Suta Hanuman Temple,30,20.4,625
R61,Sorathiyawadi Circle,31,20.7,616
R61,Kothariya Colony,32,21.1,310
R61,Sheth High School,33,21.3,579
R61,Bhaktinagar Circle,34,21.7,101
R61,Nagrik bank,35,22.3,394
R61,Kadvibai School,36,22.7,285
R61,Aryasamaj,37,23.1,64
R61,S.T. Bus Stand,38,23.4,520
R61,Trikon baug,39,24.1,639
R63,Nagrik bank,21,10.1,394
R63,Kadvibai School,22,10.5,285
R63,Aryasamaj,23,10.9,64
R63,S.T. Bus Stand,24,11.2,520
R63,Trikon baug,25,11.9,639
R63,Global Chowk,1,0.0,191
R63,Tulshi Avenue,2,0.3,645
R63,Sarvottam Height,3,0.85,549
R63,Khodiyar Chowk,4,1.6,300
R63,Bage mahamadpark,5,2.2,82
R63,Surbhi Possible 2,6,2.45,623
R63,Radheshyam Gaushala,7,3.3,472
R63,SGVP Gurukul Chowk,8,3.8,522
R63,Saswat Heights,9,4.45,551
R63,Satyam Chowk,10,4.6,557
R63,Jaybharat Primary School,11,4.95,267
R63,Punit Nagar,12,5.2,456
R63,Punit Nagar BRTS bus stop,13,5.5,458
R63,Rajkamal Petrol Pump,14,6.4,486
R63,P & T Colony/Gitanagar,15,6.9,414
R63,S.T. Workshop,16,7.5,521
R63,Panchsheel Society,17,7.9,422
R63,Rajeshree Auto,18,8.3,485
R63,P.D.M. College,19,8.7,415
R63,Makkam Chowk,20,9.9,360
R64,Sorathiyawadi Circle,20,9.0,616
R64,Kothariya Colony,19,8.6,310
R64,Sheth High School,18,8.4,579
R64,Bhaktinagar Circle,17,8.0,101
R64,Makkam Chowk,16,7.3,360
R64,Rangoli Park/Lakshmino Dholo,1,0.4,503
R64,Mota Mauva,2,0.9,386
R64,Everest Park,3,1.3,160
R64,A.G. Society,4,1.7,15
R64,Vrundavan Society,5,1.9,692
R64,Crystal Mall,6,2.2,138
R64,Atmiya College/Central School,7,2.4,75
R64,K.K.V hall,8,3.2,283
R64,Wockhart Hospital,9,3.7,695
R64,Indubai Mahasatiji Chowk - Kotecha Chowk,10,4.2,239
R64,Swaminarayan Temple/Mahila College,11,4.6,629
R64,LIC office,12,5.1,332
R64,Astron Chowk/Mahavir Chowk,13,5.3,71
R64,Hemugadhavi Hall,14,5.7,228
R64,Bhaktinagar Station,15,6.5,102
R64,Jangalesvara Crossing / Bapunagar,21,9.6,261
R64,Satyam Park,22,10.0,559
R64,Aambedkar Nagar,23,10.2,29
R64,Aji G.I.D.C.,24,10.5,40
R64,Field Marshal Chowk,25,10.9,161
R64,New Thorala,26,11.4,405
R64,Thorala Police Station,27,12.0,636
R64,Chunarvad Chowk,28,12.4,131
R64,RMC East Zone Office,29,12.7,463
R64,Manharpura - Bedinaka Fire Station,30,13.0,368
R64,Jalaram Chowk - Santkabir Road Corner,31,13.3,255
R64,Patel Vadi,32,13.6,438
R64,Ranchhod Das Ashram,33,14.8,502
R64,Gurudev Park,34,15.1,217
R64,Marutinagar 50ft Road Chowk,35,15.5,373
R64,Greenland Chowk,36,15.9,212
R64,Shivdhara Residency,37,16.6,596
R64,Jai Jawan Jai kisan Society,38,17.5,252
R64,Indraprasth Society,39,17.9,237
R64,Velnathpara Beginning ( Nr. School No. 71 ),40,19.1,674
R64,Velnathpara ( Street No. 17 ),41,19.6,672
R64,150 feet Jamnagar road crossing,42,19.8,3
R64,Bedi village,43,20.6,93
R64,Bedi marketing yard,44,21.2,92
R64,Marwadi College,45,23.1,374
R64,I.O.C.,46,25.5,231
R64,Gauridad Village,47,26.6,176
R64,Ratanpar Telephone Exchange,48,27.7,507
R64,Ratanpar (ramji mandir),49,28.1,506
R64,Hadala gam patiyu/Darshan eng. Collage,50,30.4,223
R64,Arpit eng. Collage (Hadala Gam),51,31.2,62
R64,150 feet road crossing - kalawad road,52,31.2,9
R65,Kothariya Chowk,36,13.6,309
R65,Hudco Police Chowki,35,13.1,230
R65,Govindnagar,34,12.6,207
R65,Ghanshyam Nagar/Nanda Hall,33,12.3,182
R65,Devpara,32,11.8,140
R65,Nilkanth Cinema,31,11.6,406
R65,Suta Hanuman Temple,30,11.2,625
R65,Sorathiyawadi Circle,29,10.9,616
R65,Kothariya Colony,28,10.5,310
R65,Sheth High School,27,10.3,579
R65,Bhaktinagar Circle,26,9.9,101
R65,Aryasamaj,24,8.9,64
R65,S.T. Bus Stand,23,8.6,520
R65,Trikon baug,22,7.9,639
R65,Indubai Mahasatiji Chowk - Kotecha Chowk,14,4.8,239
R65,Swaminarayan Temple/Mahila College,15,5.2,629
R65,LIC office,16,5.7,332
R65,Astron Chowk/Mahavir Chowk,17,5.9,71
R65,Hemugadhavi Hall,18,6.3,228
R65,Prajapati Chowk,1,0.0,453
R65,Oscar Sky Park,2,0.4,413
R65,Shaheed Sukhdev Township,3,0.75,569
R65,Golden Heights,4,1.05,196
R65,Jagrutideep Heights,5,1.3,250
R65,Sheetal Park,6,1.45,578
R65,Ramadevpir Chowk (RMTS),7,1.9,492
R65,Nanavati Chowk (RMTS),8,2.4,397
R65,Raiya Chowk (RMTS),9,3.0,478
R65,Brahmasamaj Chowk,10,3.2,115
R65,Hanuman Madhi,11,3.6,225
R65,Nirmala Convent School,12,3.9,407
R65,RMC Fire Brigade,13,4.5,464
R65,Narsinh Mehta Garden,19,6.7,400
R65,Ramkrushna Ashram,20,7.0,498
R65,Malaviya Chowk,21,7.7,361
R65,Kanta Stri Vikas Gruh,25,9.3,291
R65,Nadoda Nagar,37,14.4,391
R65,Radha Mira Industrial Estate,38,14.8,468
R65,Ramvan Crossing,39,16.2,501
R65,Aaji 66 kv Station (aaji vasahat road crossing),40,16.3,28
R65,Aji Vasahat,41,16.5,41
R65,Ajidam,42,17.5,42
R65,Mansarovar Society,43,17.8,369
R65,Bhimrav Nagar,44,18.2,106
R65,Manda Dungar,45,18.5,365
R65,Fulwadi,46,19.0,164
R65,Aarti Industrial Area,47,19.5,32
R65,Thebachda - Mahika Patiu,48,20.5,635
R65,Radhika Residency,49,21.2,473
R65,Sadguru Park,50,21.6,526
R65,Panchsheel College,51,22.2,421
R65,Mahika village,52,22.7,358
R66,Trikon baug,24,8.2,639
R66,Indubai Mahasatiji Chowk - Kotecha Chowk,16,5.1,239
R66,Swaminarayan Temple/Mahila College,17,5.6,629
R66,LIC office,18,6.0,332
R66,Astron Chowk/Mahavir Chowk,19,6.2,71
R66,Hemugadhavi Hall,20,6.6,228
R66,Narsinh Mehta Garden,21,7.0,400
R66,Ramkrushna Ashram,22,7.3,498
R66,Malaviya Chowk,23,8.0,361
R66,Ruda Aavash - Sarita Vihar Society,1,0.0,517
R66,Sarita Vihar Society,2,0.4,546
R66,Ruda 2,3,0.7,516
R66,A.G. Staff Quarter,4,1.0,16
R66,Prasheel Park,5,1.2,454
R66,Saurashtra University,6,1.65,565
R66,Saurashtra University Gate,7,2.05,566
R66,B.T.Savani (Kidney) Hospital,8,2.4,80
R66,Shiv Shakti Colony (RMTS),9,2.7,588
R66,Akashwani Chowk,10,3.0,43
R66,Jivan Jyot School,11,3.4,271
R66,Panchayat Nagar Chowk,12,3.7,420
R66,Zawerchand Medhani Tower,13,3.9,697
R66,Indira Circle,14,4.2,235
R66,Sbi Bank Chowk,15,4.6,568
R68,Kothariya Housing,4,5.0,313
R68,Ranuja Temple,5,5.8,505
R68,Gokul Park,6,6.2,192
R68,Brahmani Hall,7,6.6,114
R68,Kothariya Chowk,8,6.8,309
R68,Hudco Police Chowki,9,7.3,230
R68,Govindnagar,10,7.8,207
R68,Ghanshyam Nagar/Nanda Hall,11,8.1,182
R68,Bhaktinagar Circle,17,10.35,101
R68,Aryasamaj,19,11.35,64
R68,S.T. Bus Stand,20,11.65,520
R68,Trikon baug,21,12.35,639
R68,Kanta Stri Vikas Gruh,18,10.95,291
R68,Kothariya Solvant fatak,1,0.0,316
R68,Saibaba Circle,2,3.0,529
R68,Swati Park,3,4.0,631
R68,Sahakar Society,12,8.6,528
R68,Pipaliya hall/Bhakti Hall,13,8.95,445
R68,Trishul Chowk,14,9.15,643
R68,Jivraj Hospital,15,9.45,274
R68,Jalaram Chowk (Gayatrinagar Road),16,9.95,254
R69,Trikon baug,1,0.0,639
R69,Indubai Mahasatiji Chowk - Kotecha Chowk,9,4.9,239
R69,Swaminarayan Temple/Mahila College,8,4.3,629
R69,LIC office,7,3.8,332
R69,Astron Chowk/Mahavir Chowk,6,3.6,71
R69,Hemugadhavi Hall,5,3.2,228
R69,Nanavati Chowk (RMTS),15,6.9,397
R69,Raiya Chowk (RMTS),14,6.55,478
R69,Brahmasamaj Chowk,13,6.2,115
R69,Hanuman Madhi,12,5.8,225
R69,Nirmala Convent School,11,5.5,407
R69,RMC Fire Brigade,10,5.1,464
R69,Narsinh Mehta Garden,4,2.5,400
R69,Ramkrushna Ashram,3,2.2,498
R69,Malaviya Chowk,2,1.0,361
R69,Shree Dharmeshwar Marg Chowk,16,7.2,598
R69,Santiniketan Park,17,7.5,536
R69,Rameshwar Chowk,18,7.8,494
R69,Vidhutnagar,19,8.3,676
R69,Kalashdhara Park,20,8.55,286
R69,Amrut Park Main Road,21,8.65,56
R69,Ganjanand Chowk,22,8.75,175
R69,Dream City,23,9.3,154
R69,Shantinagar,24,9.65,572
R69,Raiyadhar Slum Quarter,25,9.95,483
R70,Kothariya Chowk,5,3.6,309
R70,Hudco Police Chowki,6,4.1,230
R70,Govindnagar,7,4.6,207
R70,Ghanshyam Nagar/Nanda Hall,8,4.9,182
R70,Bhaktinagar Circle,18,8.7,101
R70,Aryasamaj,20,9.7,64
R70,S.T. Bus Stand,21,10.0,520
R70,Trikon baug,22,10.7,639
R70,Indubai Mahasatiji Chowk - Kotecha Chowk,30,13.8,239
